Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
292770 SANTA CRUZ CABRALIA,1,2,1,-,1,4,1,-,1
292780 SANTA CRUZ DA VITORIA,-,1,-,-,-,-,1,-,-
292790 SANTA INES,3,-,-,2,-,1,-,-,-
292800 SANTALUZ,7,7,7,5,-,2,1,4,3
292805 SANTA LUZIA,1,2,1,-,-,2,-,-,-
292810 SANTA MARIA DA VITORIA,1,9,8,5,5,5,3,6,5
292820 SANTANA,1,4,2,2,1,1,2,4,3
292840 SANTA RITA DE CASSIA,5,4,9,6,4,6,4,2,2
292850 SANTA TERESINHA,2,2,-,1,-,-,1,-,-
292860 SANTO AMARO,1,5,1,4,1,2,1,-,1
292870 SANTO ANTONIO DE JESUS,25,22,33,33,29,50,48,39,29
292880 SANTO ESTEVAO,3,3,-,2,2,2,-,2,1
292890 SAO DESIDERIO,-,-,-,1,2,1,2,3,5
292895 SAO DOMINGOS,-,-,1,-,-,-,-,-,-
292900 SAO FELIX,16,6,3,10,7,4,7,5,2
292905 SAO FELIX DO CORIBE,2,3,2,3,-,1,-,-,-
292910 SAO FELIPE,-,-,1,-,-,1,-,-,-
292920 SAO FRANCISCO DO CONDE,11,8,6,6,8,9,-,4,3
292925 SAO GABRIEL,-,1,1,2,1,-,1,1,-
292930 SAO GONCALO DOS CAMPOS,-,2,-,2,1,-,-,-,1
292935 SAO JOSE DA VITORIA,-,1,-,1,1,-,-,-,-
292937 SAO JOSE DO JACUIPE,-,-,-,-,1,-,-,-,-
292940 SAO MIGUEL DAS MATAS,2,1,-,-,-,-,-,-,3
292950 SAO SEBASTIAO DO PASSE,1,3,1,-,1,2,1,1,3
292960 SAPEACU,4,3,2,2,1,1,-,-,3
292970 SATIRO DIAS,2,1,-,1,-,2,1,1,2
292975 SAUBARA,1,-,-,-,-,-,-,1,-
292980 SAUDE,1,1,-,1,2,1,1,1,-
292990 SEABRA,4,2,1,-,2,7,5,2,2
293000 SEBASTIAO LARANJEIRAS,1,2,1,-,-,4,1,-,-
293010 SENHOR DO BONFIM,9,17,13,14,12,13,14,11,11
293015 SERRA DO RAMALHO,1,6,3,1,3,1,3,-,3
293020 SENTO SE,3,3,-,4,3,3,2,1,4
293030 SERRA DOURADA,1,1,3,-,1,-,-,2,-
293040 SERRA PRETA,1,-,3,-,-,-,1,-,-
293050 SERRINHA,9,11,8,5,4,7,9,8,7
293060 SERROLANDIA,-,-,2,-,-,1,-,-,1
293070 SIMOES FILHO,13,12,12,15,10,18,19,14,11
293075 SITIO DO MATO,-,-,1,1,1,1,1,1,1
293076 SITIO DO QUINTO,-,2,-,-,-,-,-,-,-
293077 SOBRADINHO,-,3,1,-,3,-,6,2,-
293080 SOUTO SOARES,1,1,1,1,1,-,1,-,1
293090 TABOCAS DO BREJO VELHO,1,-,-,-,-,-,-,-,-
293100 TANHACU,2,2,-,1,-,-,2,-,-
293105 TANQUE NOVO,1,2,-,1,-,1,1,-,2
293110 TANQUINHO,-,-,-,-,1,-,-,-,-
293120 TAPEROA,1,1,-,1,-,-,-,-,2
293130 TAPIRAMUTA,-,2,2,1,-,2,-,1,-
293135 TEIXEIRA DE FREITAS,54,45,38,43,44,40,42,32,34
293140 TEODORO SAMPAIO,-,1,-,-,1,-,-,-,1
293150 TEOFILANDIA,2,-,1,4,1,1,3,-,1
293160 TEOLANDIA,1,-,-,2,2,1,-,-,1
293170 TERRA NOVA,1,-,1,-,1,-,-,-,1
293180 TREMEDAL,1,1,1,-,-,1,1,-,2
293190 TUCANO,6,8,5,4,3,6,1,1,1
293200 UAUA,1,-,1,2,2,1,1,1,1
293210 UBAIRA,-,2,2,4,3,1,1,-,2
293220 UBAITABA,1,1,1,1,1,1,1,1,-
293230 UBATA,1,1,-,-,-,-,-,-,-
293240 UIBAI,1,-,-,-,-,1,-,-,-
293245 UMBURANAS,-,-,-,-,-,-,-,1,1
293250 UNA,4,1,1,-,-,-,2,-,1
293260 URANDI,1,1,-,1,1,1,-,1,-
293270 URUCUCA,1,-,-,-,2,-,-,-,-
293280 UTINGA,1,1,1,-,1,1,1,-,-
293290 VALENCA,36,30,30,18,32,21,21,23,25
293300 VALENTE,1,2,-,1,1,1,-,2,3
293305 VARZEA DA ROCA,-,1,-,-,-,-,-,-,-
293310 VARZEA DO POCO,1,-,1,1,1,-,2,1,-
293315 VARZEA NOVA,1,-,1,-,-,-,-,-,1
293320 VERA CRUZ,1,-,-,-,1,-,1,1,1
293330 VITORIA DA CONQUISTA,158,156,180,187,162,142,123,135,143
293340 WAGNER,1,1,1,1,-,1,1,1,-
293345 WANDERLEY,1,1,-,1,-,-,-,1,1
293350 WENCESLAU GUIMARAES,2,1,1,2,2,1,-,-,1
293360 XIQUE-XIQUE,4,3,1,1,2,2,4,-,1
310010 ABADIA DOS DOURADOS,-,1,-,-,-,-,-,-,-
310020 ABAETE,2,1,2,-,-,-,-,3,1
310030 ABRE CAMPO,3,3,1,-,-,-,1,-,1
310050 ACUCENA,1,-,-,-,-,-,-,-,-
310060 AGUA BOA,-,-,-,-,1,-,1,1,-
310080 AGUANIL,-,-,1,-,-,-,-,-,-
310090 AGUAS FORMOSAS,12,12,14,9,3,4,5,1,4
310100 AGUAS VERMELHAS,1,-,1,3,-,-,-,-,2
310110 AIMORES,-,-,2,3,-,1,1,1,2
310120 AIURUOCA,3,-,1,-,2,-,-,3,3
310150 ALEM PARAIBA,3,3,3,8,4,4,3,1,3
310160 ALFENAS,35,39,31,34,52,42,48,39,41
310163 ALFREDO VASCONCELOS,1,-,-,-,-,-,-,-,-
310170 ALMENARA,10,17,10,16,12,11,9,7,8
310180 ALPERCATA,-,-,-,-,-,-,-,-,1
310190 ALPINOPOLIS,-,2,-,2,1,-,-,-,1
310200 ALTEROSA,1,1,-,-,-,2,-,-,-
310210 ALTO RIO DOCE,1,-,-,-,2,-,-,-,-
310230 ALVINOPOLIS,-,-,-,-,1,-,-,-,-
310250 AMPARO DO SERRA,-,-,-,1,-,-,-,-,-
310260 ANDRADAS,3,5,-,1,2,-,4,-,1
310270 CACHOEIRA DE PAJEU,1,-,1,-,-,1,1,-,-
310280 ANDRELANDIA,1,2,-,-,2,-,-,-,-
310285 ANGELANDIA,-,-,-,-,1,-,-,-,1
310290 ANTONIO CARLOS,1,-,-,-,-,-,-,1,-
310300 ANTONIO DIAS,1,-,-,-,-,-,-,-,-
310340 ARACUAI,8,10,10,6,5,6,4,5,8
310350 ARAGUARI,17,11,18,15,23,12,16,17,6
310370 ARAPONGA,-,-,-,1,-,-,-,-,-
310375 ARAPORA,1,1,-,-,1,-,1,-,-
310390 ARAUJOS,-,-,-,-,-,1,-,-,-
310400 ARAXA,3,4,5,4,2,6,3,4,10
310410 ARCEBURGO,-,-,1,-,-,-,-,-,2
310420 ARCOS,2,1,2,2,3,5,3,2,-
310430 AREADO,1,-,-,-,-,1,-,-,-
310450 ARINOS,1,-,-,1,1,1,1,-,-
310470 ATALEIA,-,1,-,-,-,-,-,-,-
310480 AUGUSTO DE LIMA,-,-,-,-,-,-,-,-,1
310490 BAEPENDI,1,3,-,-,-,1,2,1,1
310510 BAMBUI,-,1,1,1,2,1,1,1,-
310540 BARAO DE COCAIS,-,1,1,1,2,1,2,1,-
310550 BARAO DE MONTE ALTO,-,-,-,1,-,-,-,-,-
310560 BARBACENA,37,33,39,26,50,40,32,37,32
310590 BARROSO,1,-,2,-,1,1,-,-,1
310610 BELMIRO BRAGA,-,-,-,1,-,-,-,1,-
310620 BELO HORIZONTE,716,727,721,660,721,693,707,625,653
310630 BELO ORIENTE,-,-,1,-,-,-,-,-,1
310640 BELO VALE,1,-,-,-,-,1,1,-,-
310650 BERILO,-,-,-,1,-,-,-,-,1
310660 BERTOPOLIS,1,1,-,-,-,1,-,-,-
310670 BETIM,83,66,67,57,54,65,87,70,78
310690 BICAS,3,1,2,1,-,-,-,-,-
310710 BOA ESPERANCA,2,6,7,6,6,5,2,2,2
310730 BOCAIUVA,3,3,3,3,6,3,2,-,7
310740 BOM DESPACHO,3,3,2,6,2,4,5,5,2
310750 BOM JARDIM DE MINAS,1,-,-,-,-,-,-,-,-
310770 BOM JESUS DO AMPARO,-,-,-,-,-,1,-,-,-
310780 BOM JESUS DO GALHO,1,1,1,1,-,-,-,-,1
310790 BOM REPOUSO,-,-,-,1,-,1,-,-,-
310800 BOM SUCESSO,1,1,1,-,1,-,-,1,4
310820 BONFINOPOLIS DE MINAS,-,-,-,-,-,-,-,1,-
310825 BONITO DE MINAS,-,-,-,-,1,1,-,1,-
310830 BORDA DA MATA,-,-,-,2,-,-,-,-,-
310840 BOTELHOS,1,-,-,-,-,-,-,1,-
310850 BOTUMIRIM,-,-,1,-,-,-,-,-,-
310855 BRASILANDIA DE MINAS,-,-,1,-,-,1,-,1,1
310860 BRASILIA DE MINAS,11,6,9,7,8,5,4,4,4
310900 BRUMADINHO,2,-,-,3,3,-,3,-,-
310910 BUENO BRANDAO,-,1,1,-,-,-,-,-,-
310920 BUENOPOLIS,-,-,-,-,-,-,-,-,1
310930 BURITIS,3,-,2,-,1,-,2,1,1
310940 BURITIZEIRO,2,1,-,1,-,1,1,-,1
310945 CABECEIRA GRANDE,-,-,-,-,-,-,-,2,-
310950 CABO VERDE,1,-,1,-,2,1,-,-,-
310990 CAETANOPOLIS,-,2,-,-,-,-,1,-,-
311000 CAETE,1,2,2,2,4,3,6,-,-
311020 CAJURI,1,-,-,-,-,-,-,-,-
311050 CAMANDUCAIA,-,-,-,-,1,1,-,1,-
311060 CAMBUI,-,-,2,-,-,-,1,3,1
311070 CAMBUQUIRA,1,1,2,2,-,-,-,-,1
311090 CAMPANHA,1,-,1,1,1,1,1,1,-
311100 CAMPESTRE,1,1,-,-,1,1,-,-,2
311110 CAMPINA VERDE,-,-,-,-,1,-,-,-,-
311120 CAMPO BELO,1,4,5,3,5,-,4,1,4
311130 CAMPO DO MEIO,-,-,-,1,-,-,-,-,-
311140 CAMPO FLORIDO,1,1,1,-,-,-,-,-,1
311150 CAMPOS ALTOS,1,3,-,3,1,3,-,2,1
311160 CAMPOS GERAIS,2,-,3,2,-,-,-,-,-
311180 CANAPOLIS,-,-,1,-,-,1,1,-,1
311210 CAPARAO,-,1,-,-,-,-,-,-,-
311230 CAPELINHA,6,2,3,6,5,4,2,6,8
311265 CAPITAO ANDRADE,-,1,-,-,-,-,-,-,-
311270 CAPITAO ENEAS,2,-,-,-,-,1,-,-,-
311290 CAPUTIRA,-,-,1,-,-,-,-,-,-
311300 CARAI,1,3,-,-,2,3,-,2,2
311320 CARANDAI,-,-,1,-,3,-,1,-,-
311330 CARANGOLA,15,16,20,17,15,13,17,10,15
311340 CARATINGA,32,35,36,25,28,24,29,27,14
311350 CARBONITA,-,-,1,-,-,-,-,-,-
311360 CAREACU,-,-,-,-,-,-,-,1,-
311370 CARLOS CHAGAS,2,1,1,1,-,1,-,1,1
311380 CARMESIA,-,-,-,-,1,-,-,-,-
311390 CARMO DA CACHOEIRA,2,1,-,1,-,1,-,-,-
311400 CARMO DA MATA,1,-,-,-,-,-,-,-,1
311420 CARMO DO CAJURU,1,-,-,1,-,-,1,-,1
311430 CARMO DO PARANAIBA,-,1,1,-,-,1,2,1,1
311440 CARMO DO RIO CLARO,-,1,-,1,-,-,-,-,-
311450 CARMOPOLIS DE MINAS,1,1,1,2,2,-,3,-,4
311455 CARNEIRINHO,-,-,-,-,2,-,-,-,-
311460 CARRANCAS,-,-,-,-,-,-,1,-,-
311510 CASSIA,1,1,2,1,-,-,1,-,-
311530 CATAGUASES,5,5,3,5,5,9,8,7,5
311545 CATUJI,-,1,1,-,-,-,1,-,-
311550 CAXAMBU,2,-,2,2,1,1,-,-,2
311590 CHACARA,-,-,-,-,-,-,-,1,-
311615 CHAPADA GAUCHA,2,2,1,-,2,-,1,1,-
311630 CIPOTANEA,-,-,-,-,-,-,1,1,-
311650 CLARO DOS POCOES,-,-,-,-,-,-,-,1,-
311660 CLAUDIO,1,2,3,3,1,2,3,-,-
311670 COIMBRA,1,-,-,-,-,1,1,-,-
311680 COLUNA,4,-,-,-,2,-,1,1,-
311700 COMERCINHO,-,-,-,-,-,-,1,-,-
311710 CONCEICAO DA APARECIDA,-,-,-,-,-,-,-,-,1
311730 CONCEICAO DAS ALAGOAS,-,1,1,-,2,-,1,-,1
311740 CONCEICAO DE IPANEMA,-,-,-,-,-,-,-,-,1
311750 CONCEICAO DO MATO DENTRO,-,1,-,-,-,-,1,1,-
311770 CONCEICAO DO RIO VERDE,-,-,-,-,-,2,-,1,1
311800 CONGONHAS,3,3,3,6,7,2,4,2,3
311820 CONQUISTA,-,-,1,-,-,-,-,-,-
311830 CONSELHEIRO LAFAIETE,12,15,9,9,14,11,14,9,10
311840 CONSELHEIRO PENA,2,-,-,1,-,-,-,2,-
311860 CONTAGEM,53,49,46,49,48,49,55,57,63
311870 COQUEIRAL,-,-,-,-,-,-,-,1,-
311880 CORACAO DE JESUS,1,2,5,-,2,1,1,-,-
311910 CORINTO,-,2,-,-,-,1,-,-,2
311930 COROMANDEL,2,-,2,-,1,-,-,-,1
311940 CORONEL FABRICIANO,4,4,5,5,2,9,4,4,1
311950 CORONEL MURTA,-,-,-,-,-,-,1,-,-
312010 COUTO DE MAGALHAES DE MINAS,-,-,-,-,-,1,-,-,-
312020 CRISTAIS,-,-,-,-,-,-,-,1,-
312050 CRISTINA,-,-,-,1,-,-,-,-,-
312060 CRUCILANDIA,-,-,-,-,-,-,-,1,-
312070 CRUZEIRO DA FORTALEZA,1,-,-,-,-,-,-,-,-
312080 CRUZILIA,2,2,1,-,2,-,2,-,1
312083 CUPARAQUE,2,-,-,-,-,-,-,-,-
312087 CURRAL DE DENTRO,-,1,1,1,-,-,-,-,-
312090 CURVELO,14,14,17,13,19,9,9,6,6
312100 DATAS,-,-,-,1,-,1,1,-,-
312120 DELFINOPOLIS,-,-,-,1,-,-,-,-,-
312125 DELTA,-,-,-,1,-,-,-,-,-
312130 DESCOBERTO,1,-,-,-,-,-,-,-,-
312150 DESTERRO DO MELO,-,-,-,1,-,-,-,-,-
312160 DIAMANTINA,39,24,27,26,24,16,26,13,27
312170 DIOGO DE VASCONCELOS,-,1,-,-,-,-,-,-,-
312200 DIVINO,1,-,2,-,-,-,1,-,2
312210 DIVINO DAS LARANJEIRAS,1,-,1,-,-,-,-,-,-
312220 DIVINOLANDIA DE MINAS,-,-,-,2,-,-,-,-,-
312230 DIVINOPOLIS,30,32,37,33,28,25,35,32,43
312235 DIVISA ALEGRE,1,-,-,-,-,-,-,-,-
312260 DOM JOAQUIM,-,-,-,-,-,-,-,-,1
312290 DONA EUSEBIA,-,-,-,-,-,-,-,1,-
312300 DORES DE CAMPOS,-,-,1,-,-,-,-,-,-
312320 DORES DO INDAIA,2,1,-,3,1,1,1,-,-
312352 DURANDE,-,-,-,1,-,-,-,-,-
312360 ELOI MENDES,-,-,1,1,-,-,2,-,-
312380 ENGENHEIRO NAVARRO,-,-,-,-,-,-,1,-,-
312390 ENTRE RIOS DE MINAS,2,1,-,-,1,-,-,1,1
312400 ERVALIA,1,2,-,2,-,-,-,-,-
312410 ESMERALDAS,-,1,1,2,1,-,3,1,2
312420 ESPERA FELIZ,1,-,-,1,-,-,1,-,-
312430 ESPINOSA,2,3,1,1,1,1,1,-,2
312450 ESTIVA,-,1,-,-,-,-,-,-,-
312470 ESTRELA DO INDAIA,-,2,-,-,-,-,-,-,1
312480 ESTRELA DO SUL,-,-,-,1,-,-,-,-,-
312490 EUGENOPOLIS,-,-,-,-,-,1,-,-,-
312510 EXTREMA,-,1,-,1,2,2,2,3,2
312560 FELISBURGO,3,-,4,3,1,-,-,-,2
312570 FELIXLANDIA,-,-,-,-,-,1,-,-,-
312590 FERROS,-,-,-,-,-,-,1,1,1
312610 FORMIGA,2,11,11,12,12,3,7,11,10
312620 FORMOSO,-,1,-,-,1,-,1,-,1
312650 FRANCISCO BADARO,-,-,-,-,1,-,1,-,-
312670 FRANCISCO SA,-,-,2,4,1,1,1,2,2
312675 FRANCISCOPOLIS,-,-,1,-,-,-,-,-,-
312680 FREI GASPAR,-,-,-,-,1,-,-,-,-
312690 FREI INOCENCIO,-,-,-,-,-,-,1,-,-
312700 FRONTEIRA,-,-,-,-,-,2,-,-,-
312705 FRONTEIRA DOS VALES,-,-,-,-,1,-,-,-,-
312707 FRUTA DE LEITE,-,-,-,-,-,-,1,-,-
312710 FRUTAL,2,2,1,1,3,1,3,2,1
312730 GALILEIA,-,-,-,-,-,1,-,-,-
312738 GOIANA,-,-,-,-,-,-,-,1,-
312760 GOUVEIA,1,-,-,-,-,-,-,-,1
312770 GOVERNADOR VALADARES,82,85,85,94,91,96,80,98,82
312780 GRAO MOGOL,1,-,2,1,-,-,-,-,-
312800 GUANHAES,11,8,6,4,4,5,2,8,3
312830 GUARANESIA,1,-,-,1,-,2,2,1,1
312840 GUARANI,-,2,2,1,-,-,-,-,-
312850 GUARARA,-,-,1,-,-,-,-,-,-
312860 GUARDA-MOR,-,-,-,-,-,1,-,-,-
312870 GUAXUPE,6,3,2,3,8,-,2,2,-
312890 GUIMARANIA,2,-,-,-,-,-,-,-,-
312920 HELIODORA,1,-,-,-,-,-,-,-,-
312940 IBERTIOGA,-,-,-,-,-,-,-,-,1
312950 IBIA,1,-,-,1,-,-,2,1,-
312970 IBIRACI,1,-,-,-,-,-,-,-,-
312980 IBIRITE,6,6,5,7,9,6,3,9,5
313005 ICARAI DE MINAS,-,-,-,1,-,-,-,-,-
313010 IGARAPE,-,1,1,-,2,3,-,1,1
313020 IGARATINGA,-,-,-,-,1,-,1,-,-
313030 IGUATAMA,-,-,-,-,-,1,-,-,-
313040 IJACI,-,-,-,-,-,-,1,-,-
313050 ILICINEA,1,-,-,1,-,-,1,1,-
313065 INDAIABIRA,-,-,-,-,1,-,-,-,-
313070 INDIANOPOLIS,-,-,-,-,1,1,-,-,1
313090 INHAPIM,-,-,-,-,-,-,1,-,-
313115 IPABA,1,-,-,1,-,-,-,-,-
313120 IPANEMA,-,1,2,1,1,2,1,3,-
313130 IPATINGA,48,65,60,55,50,65,66,56,50
313150 IPUIUNA,-,-,-,-,-,1,-,-,-
313170 ITABIRA,20,15,15,17,7,4,9,6,11
313180 ITABIRINHA,-,1,-,-,-,-,1,-,-
313190 ITABIRITO,2,4,2,3,3,2,2,3,2
313210 ITACARAMBI,-,1,2,6,2,3,4,2,2
313220 ITAGUARA,-,2,3,-,2,-,-,-,-
313230 ITAIPE,2,1,3,-,1,-,2,-,-
313240 ITAJUBA,30,26,22,22,22,27,20,19,24
313250 ITAMARANDIBA,5,1,-,1,2,2,1,1,5
313270 ITAMBACURI,3,3,4,2,6,1,2,1,4
313300 ITAMONTE,1,-,2,1,1,-,-,-,-
313310 ITANHANDU,1,2,-,1,-,-,1,-,-
313320 ITANHOMI,-,2,-,1,-,-,-,-,1
313330 ITAOBIM,2,8,5,7,4,2,2,8,4
313340 ITAPAGIPE,-,-,-,-,-,-,-,-,1
313350 ITAPECERICA,-,1,1,-,-,1,-,-,-
313360 ITAPEVA,-,1,-,-,-,-,-,-,-
313370 ITATIAIUCU,-,1,1,-,-,2,1,-,-
313380 ITAUNA,8,4,3,8,9,8,3,6,4
313390 ITAVERAVA,-,-,-,-,-,-,-,1,-
313400 ITINGA,-,-,-,-,1,-,-,-,-
313420 ITUIUTABA,6,2,9,8,7,9,5,6,6
313440 ITURAMA,3,6,4,3,2,1,-,1,1
313460 JABOTICATUBAS,1,-,-,1,-,-,-,1,-
313470 JACINTO,1,1,1,1,-,-,3,-,1
313480 JACUI,-,-,-,1,-,-,1,-,-
313490 JACUTINGA,1,2,1,-,3,-,-,1,1
313505 JAIBA,2,-,1,3,3,3,2,-,2
313507 JAMPRUCA,-,-,-,1,-,-,-,-,-
313510 JANAUBA,36,38,35,26,27,31,19,25,30
313520 JANUARIA,7,15,12,13,7,9,5,4,8
313530 JAPARAIBA,-,1,-,-,-,-,-,-,-
313535 JAPONVAR,-,1,-,-,1,-,-,-,-
313560 JEQUITAI,-,-,1,-,-,-,1,1,-
313570 JEQUITIBA,-,-,1,-,-,-,-,1,-
313580 JEQUITINHONHA,5,5,2,-,1,2,2,6,2
313600 JOAIMA,5,1,6,1,1,4,-,1,1
313620 JOAO MONLEVADE,9,12,9,15,9,10,7,7,2
313630 JOAO PINHEIRO,4,2,7,4,4,1,2,2,3
313640 JOAQUIM FELICIO,-,-,-,-,-,-,-,-,1
313650 JORDANIA,-,-,-,-,1,1,-,-,-
313655 JOSE RAYDAN,-,-,-,1,-,-,-,-,-
313657 JOSENOPOLIS,-,1,-,-,-,-,-,-,-
313660 NOVA UNIAO,-,-,-,-,-,1,-,-,-
313665 JUATUBA,2,-,-,-,-,-,1,-,-
313670 JUIZ DE FORA,129,157,122,115,110,116,120,104,105
313690 JURUAIA,-,1,-,-,-,1,-,-,1
313700 LADAINHA,1,-,-,1,2,1,2,-,1
313710 LAGAMAR,-,-,-,-,-,1,-,-,-
313720 LAGOA DA PRATA,4,4,3,5,3,4,3,5,8
313740 LAGOA DOURADA,-,1,-,-,-,-,-,-,-
313750 LAGOA FORMOSA,1,-,-,-,1,2,-,-,-
313760 LAGOA SANTA,4,-,2,1,5,-,1,1,-
313770 LAJINHA,-,4,2,-,1,3,4,-,1
313780 LAMBARI,-,2,3,-,-,1,-,1,-
313800 LARANJAL,2,-,-,-,-,-,-,-,-
313810 LASSANCE,-,1,-,-,-,-,-,-,-
313820 LAVRAS,39,34,37,33,43,28,24,25,25
313835 LEME DO PRADO,-,-,-,-,-,-,-,1,-
313840 LEOPOLDINA,5,6,1,3,2,3,5,8,2
313850 LIBERDADE,-,-,1,-,-,-,-,-,-
313860 LIMA DUARTE,-,1,4,-,-,1,-,-,1
313862 LIMEIRA DO OESTE,1,-,-,-,-,-,-,-,-
313865 LONTRA,-,-,-,-,1,-,-,-,-
313880 LUZ,4,2,1,1,1,2,2,2,3
313890 MACHACALIS,1,1,3,2,2,4,1,3,2
313900 MACHADO,7,1,2,1,5,1,-,3,2
313920 MALACACHETA,7,6,4,2,3,5,3,5,2
313925 MAMONAS,-,1,-,-,-,-,-,-,-
313930 MANGA,4,3,6,9,4,4,6,3,2
313940 MANHUACU,24,18,24,21,18,21,24,20,20
313950 MANHUMIRIM,4,3,2,2,-,1,1,-,1
313960 MANTENA,2,1,1,4,-,1,-,1,1
313970 MARAVILHAS,-,-,-,-,-,-,-,1,-
313980 MAR DE ESPANHA,-,-,1,-,-,1,-,1,-
313990 MARIA DA FE,-,-,-,-,1,-,-,-,-
314000 MARIANA,3,9,7,5,8,6,5,5,10
314010 MARILAC,1,-,-,1,-,1,-,-,-
314015 MARIO CAMPOS,-,1,-,-,-,-,-,-,-
314040 MARMELOPOLIS,-,-,-,-,-,-,1,-,-
314050 MARTINHO CAMPOS,-,-,1,-,-,-,1,-,-
314055 MATA VERDE,-,-,-,-,-,-,2,-,-
314070 MATEUS LEME,-,1,-,1,-,-,-,-,-
314080 MATIAS BARBOSA,1,-,1,-,1,-,1,-,-
314085 MATIAS CARDOSO,-,2,-,1,-,-,-,-,-
314090 MATIPO,3,-,-,1,4,-,-,-,-
314100 MATO VERDE,-,-,-,1,1,-,-,1,-
314110 MATOZINHOS,-,1,-,1,1,1,-,-,1
314120 MATUTINA,1,-,-,-,-,-,-,-,-
314140 MEDINA,-,4,1,6,1,3,3,-,1
314150 MENDES PIMENTEL,1,-,1,-,-,-,-,-,-
314160 MERCES,-,1,-,-,-,1,-,-,-
314180 MINAS NOVAS,7,8,10,7,4,3,1,1,2
314200 MIRABELA,1,1,3,2,1,2,-,1,-
314220 MIRAI,-,1,-,1,-,-,1,-,-
314240 MOEMA,1,1,-,-,-,-,-,-,-
314260 MONSENHOR PAULO,-,-,1,1,-,-,-,-,-
314270 MONTALVANIA,1,3,5,1,1,1,-,-,1
314280 MONTE ALEGRE DE MINAS,-,2,-,1,-,1,1,-,-
314290 MONTE AZUL,1,1,2,2,2,2,6,1,1
314300 MONTE BELO,-,-,-,1,-,-,-,-,-
314310 MONTE CARMELO,3,3,5,4,4,2,5,3,1
314315 MONTE FORMOSO,1,-,-,1,-,-,-,-,-
314320 MONTE SANTO DE MINAS,-,2,1,-,1,-,1,-,-
314330 MONTES CLAROS,164,130,146,153,140,129,136,109,104
314340 MONTE SIAO,-,-,-,1,-,1,-,-,1
314345 MONTEZUMA,-,1,-,-,-,-,-,-,-
314350 MORADA NOVA DE MINAS,-,1,-,-,-,1,-,1,-
314370 MORRO DO PILAR,-,-,-,-,-,-,2,-,-
314380 MUNHOZ,-,-,-,-,-,-,-,-,1
314390 MURIAE,26,16,18,22,19,27,24,26,19
314400 MUTUM,1,3,1,1,1,3,2,1,-
314410 MUZAMBINHO,2,-,1,1,-,1,-,-,1
314430 NANUQUE,4,6,9,3,2,6,7,3,2
314435 NAQUE,-,-,2,-,-,-,1,-,-
314450 NAZARENO,-,-,-,-,-,-,1,-,-
314460 NEPOMUCENO,1,3,-,2,1,2,-,-,-
314470 NOVA ERA,1,2,-,-,-,-,-,-,-
314480 NOVA LIMA,94,81,100,101,96,115,93,91,78
314490 NOVA MODICA,-,-,1,-,-,-,-,-,-
314500 NOVA PONTE,-,-,-,1,-,-,-,-,-
314510 NOVA RESENDE,-,-,-,-,-,-,1,-,-
314520 NOVA SERRANA,4,1,11,6,9,6,6,5,5
314530 NOVO CRUZEIRO,2,2,-,3,-,2,2,-,4
314535 NOVO ORIENTE DE MINAS,1,-,2,-,-,1,-,-,-
314560 OLIVEIRA,2,2,2,1,2,5,2,1,2
314570 OLIVEIRA FORTES,-,-,1,-,-,-,-,-,-
314587 ORIZANIA,-,1,-,-,-,-,-,-,-
314590 OURO BRANCO,4,3,2,-,3,1,-,3,-
314600 OURO FINO,2,4,3,5,4,-,-,5,3
314610 OURO PRETO,3,3,1,2,8,9,2,2,7
314620 OURO VERDE DE MINAS,1,1,2,-,1,-,-,-,-
314630 PADRE PARAISO,2,2,7,6,3,4,4,2,6
314640 PAINEIRAS,-,-,-,1,-,-,-,-,-
314650 PAINS,-,-,-,-,-,1,-,-,-
314655 PAI PEDRO,-,-,-,-,-,-,-,-,1
314675 PALMOPOLIS,-,-,-,-,-,1,-,-,-
314690 PAPAGAIOS,-,1,-,-,-,-,-,-,-
314700 PARACATU,2,4,7,5,5,3,9,2,5
314710 PARA DE MINAS,9,8,6,4,2,4,7,6,3
314720 PARAGUACU,-,-,-,-,2,1,-,-,-
314730 PARAISOPOLIS,1,1,-,-,-,-,-,-,-
314740 PARAOPEBA,-,-,-,1,1,1,-,1,1
314760 PASSA QUATRO,1,-,1,2,2,-,1,-,-
314770 PASSA TEMPO,-,-,-,1,-,-,-,-,-
314790 PASSOS,39,47,60,52,52,53,59,50,58
314795 PATIS,-,-,-,-,-,1,-,-,-
314800 PATOS DE MINAS,74,57,66,50,62,68,76,58,41
314810 PATROCINIO,5,6,11,16,10,18,17,13,21
314840 PAULISTAS,1,-,-,-,-,-,1,-,-
314850 PAVAO,2,-,-,-,-,-,-,1,-
314860 PECANHA,4,3,-,2,3,5,5,1,2
314870 PEDRA AZUL,10,4,6,4,3,2,2,5,3
314875 PEDRA BONITA,-,1,1,-,-,-,-,-,-
314910 PEDRALVA,-,-,-,-,-,-,-,-,1
314915 PEDRAS DE MARIA DA CRUZ,1,-,-,-,-,-,-,1,-
314920 PEDRINOPOLIS,-,-,-,-,1,-,-,-,-
314930 PEDRO LEOPOLDO,4,6,3,10,7,3,2,1,4
314970 PERDIGAO,-,-,-,-,-,-,1,1,-
314980 PERDIZES,1,-,-,1,2,1,1,2,-
314990 PERDOES,-,1,-,-,-,-,1,-,-
314995 PERIQUITO,-,1,-,-,-,1,-,-,-
