Município,Menor de 10 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,Idade ignorada,Total
171330 MIRANORTE,-,-,-,1,2,-,-,-,-,-,-,-,-,3
171360 MONTE DO CARMO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
171420 NATIVIDADE,-,-,-,1,-,-,1,-,-,-,-,-,-,2
171430 NAZARE,-,-,-,-,1,-,-,-,-,-,-,-,-,1
171488 NOVA OLINDA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
171510 NOVO ACORDO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
171570 PALMEIRANTE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
171610 PARAISO DO TOCANTINS,-,3,19,26,21,25,9,3,-,-,-,-,2,108
171620 PARANA,-,-,1,1,2,-,1,1,-,-,-,-,3,9
171650 PEDRO AFONSO,-,1,3,9,4,2,2,1,-,-,-,-,6,28
171660 PEIXE,-,-,-,-,-,1,-,-,-,-,-,-,-,1
171665 PEQUIZEIRO,-,-,-,1,-,-,-,-,-,-,-,-,1,2
171670 COLMEIA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
171700 PINDORAMA DO TOCANTINS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
171750 PIUM,-,-,1,-,-,-,-,-,-,-,-,-,-,1
171820 PORTO NACIONAL,-,2,26,30,18,29,17,8,-,-,-,-,3,133
171850 RECURSOLANDIA,-,-,-,-,-,2,-,-,-,-,-,-,-,2
171880 SAMPAIO,-,-,3,-,-,-,-,-,-,-,-,-,-,3
171886 SANTA FE DO ARAGUAIA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
171890 SANTA ROSA DO TOCANTINS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
171900 SANTA TEREZA DO TOCANTINS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
172000 SANTA TEREZINHA DO TOCANTINS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
172010 SAO BENTO DO TOCANTINS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
172015 SAO FELIX DO TOCANTINS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
172025 SAO SALVADOR DO TOCANTINS,-,-,1,1,-,-,-,-,-,-,-,-,-,2
172030 SAO SEBASTIAO DO TOCANTINS,-,-,-,-,1,1,-,-,-,-,-,-,1,3
172090 TAGUATINGA,-,-,2,-,2,1,-,-,-,-,-,-,5,10
172100 PALMAS,-,10,121,209,163,154,95,22,1,-,-,-,17,792
172110 TOCANTINIA,-,-,1,1,-,-,-,-,-,-,-,-,-,2
172120 TOCANTINOPOLIS,-,1,6,3,4,5,2,1,-,-,-,-,7,29
172210 XAMBIOA,-,-,2,4,3,1,-,-,-,-,-,-,1,11
210005 ACAILANDIA,-,2,50,53,40,26,12,5,-,-,-,-,-,188
210010 AFONSO CUNHA,-,-,-,2,1,2,-,-,-,-,-,-,-,5
210015 AGUA DOCE DO MARANHAO,-,-,-,1,-,-,-,-,-,-,-,-,1,2
210020 ALCANTARA,-,-,1,2,2,-,1,-,-,-,-,-,4,10
210030 ALDEIAS ALTAS,-,-,1,-,3,-,1,-,-,-,-,-,-,5
210043 ALTO ALEGRE DO MARANHAO,-,11,104,121,115,80,52,19,1,-,-,-,16,519
210047 ALTO ALEGRE DO PINDARE,-,1,10,11,13,6,5,2,-,-,-,-,3,51
210050 ALTO PARNAIBA,-,-,2,6,1,2,1,-,-,-,-,-,3,15
210055 AMAPA DO MARANHAO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
210060 AMARANTE DO MARANHAO,-,5,30,20,12,14,9,1,-,-,-,-,2,93
210070 ANAJATUBA,-,-,1,7,4,3,-,-,-,-,-,-,5,20
210080 ANAPURUS,-,-,2,10,3,2,3,-,-,-,-,-,3,23
210083 APICUM-ACU,-,-,2,1,-,1,-,1,-,-,-,-,1,6
210087 ARAGUANA,-,1,-,-,-,-,-,-,-,-,-,-,-,1
210090 ARAIOSES,-,-,4,4,4,1,1,-,-,-,-,-,3,17
210095 ARAME,-,3,14,12,10,21,9,2,-,-,-,-,1,72
210100 ARARI,-,-,3,4,1,3,3,1,-,-,-,-,4,19
210110 AXIXA,-,1,1,-,2,-,1,-,-,-,-,-,1,6
210120 BACABAL,-,3,52,77,63,33,19,8,1,-,-,-,15,271
210125 BACABEIRA,-,-,1,1,3,2,-,-,-,-,-,-,-,7
210140 BALSAS,-,2,61,80,66,42,27,14,1,-,1,-,14,308
210150 BARAO DE GRAJAU,-,-,1,1,-,-,-,-,-,-,-,-,-,2
210160 BARRA DO CORDA,-,3,41,64,41,48,33,8,2,1,-,-,19,260
210170 BARREIRINHAS,-,6,45,69,48,40,20,7,1,-,-,-,2,238
210173 BELAGUA,-,-,1,-,1,-,-,-,-,-,-,-,-,2
210177 BELA VISTA DO MARANHAO,-,1,-,-,-,-,-,-,-,-,-,-,-,1
210190 BEQUIMAO,-,1,3,1,1,-,-,-,-,-,-,-,1,7
210200 BOM JARDIM,-,2,8,6,6,5,3,-,-,-,-,-,4,34
210203 BOM JESUS DAS SELVAS,-,-,2,6,2,2,-,1,-,-,-,-,2,15
210210 BREJO,-,-,5,5,11,6,2,1,-,-,-,-,14,44
210215 BREJO DE AREIA,-,-,1,-,-,-,-,-,-,1,-,-,1,3
210220 BURITI,-,-,6,11,8,4,-,-,-,-,-,-,1,30
210230 BURITI BRAVO,-,-,4,1,4,1,1,-,-,-,-,-,2,13
210232 BURITICUPU,-,-,25,36,24,18,10,4,1,-,-,-,13,131
210237 CACHOEIRA GRANDE,-,-,-,-,-,-,-,-,-,-,-,-,1,1
210240 CAJAPIO,-,-,-,4,2,1,1,-,-,-,-,-,2,10
210250 CAJARI,-,-,-,-,1,1,3,1,-,-,-,-,1,7
210255 CAMPESTRE DO MARANHAO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210260 CANDIDO MENDES,-,-,1,3,-,3,-,-,-,-,-,-,1,8
210270 CANTANHEDE,-,-,1,2,1,3,2,-,-,-,-,-,1,10
210275 CAPINZAL DO NORTE,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210280 CAROLINA,-,-,3,1,-,3,-,-,-,-,-,-,2,9
210290 CARUTAPERA,-,2,9,22,16,12,11,2,-,-,-,-,5,79
210300 CAXIAS,-,3,101,124,113,89,65,18,2,-,-,-,22,537
210310 CEDRAL,-,-,1,1,1,-,-,-,-,-,-,-,-,3
210312 CENTRAL DO MARANHAO,-,-,-,-,2,-,1,-,-,-,-,-,-,3
210315 CENTRO DO GUILHERME,-,-,1,-,-,-,-,-,-,-,-,-,-,1
210317 CENTRO NOVO DO MARANHAO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
210320 CHAPADINHA,-,10,82,90,93,75,40,15,1,-,-,-,7,413
210325 CIDELANDIA,-,-,-,1,-,-,-,-,-,-,-,-,1,2
210330 CODO,-,1,49,65,55,45,31,8,1,-,-,-,9,264
210340 COELHO NETO,-,1,35,33,41,27,9,6,2,-,-,-,8,162
210350 COLINAS,-,2,28,31,30,29,16,11,1,-,-,-,6,154
210355 CONCEICAO DO LAGO-ACU,-,-,-,1,-,-,-,-,-,-,-,-,-,1
210360 COROATA,-,2,28,37,30,17,15,1,-,-,-,-,23,153
210370 CURURUPU,-,2,37,41,40,18,15,4,-,-,-,-,13,170
210375 DAVINOPOLIS,-,-,-,-,-,-,-,1,-,-,-,-,-,1
210380 DOM PEDRO,-,-,-,5,1,1,-,-,-,-,-,-,6,13
210390 DUQUE BACELAR,-,-,-,-,-,2,-,-,-,-,-,-,1,3
210400 ESPERANTINOPOLIS,-,-,3,7,8,4,1,-,-,-,-,-,1,24
210405 ESTREITO,-,1,8,3,6,2,3,1,-,1,-,-,7,32
210407 FEIRA NOVA DO MARANHAO,-,-,2,-,-,-,-,1,-,-,-,-,-,3
210408 FERNANDO FALCAO,-,-,-,2,3,2,-,-,-,-,-,-,1,8
210409 FORMOSA DA SERRA NEGRA,-,1,3,-,3,1,-,1,-,-,-,-,2,11
210410 FORTALEZA DOS NOGUEIRAS,-,-,3,2,4,-,1,-,-,-,-,-,-,10
210420 FORTUNA,-,-,1,1,2,1,-,-,-,-,-,-,1,6
210430 GODOFREDO VIANA,-,-,1,1,-,-,-,-,-,-,-,-,-,2
210440 GONCALVES DIAS,-,-,3,2,3,2,1,1,-,-,-,-,2,14
210460 GOVERNADOR EUGENIO BARROS,-,-,4,2,2,4,4,1,-,-,-,-,2,19
210462 GOVERNADOR LUIZ ROCHA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
210465 GOVERNADOR NEWTON BELLO,-,-,-,-,1,-,-,-,-,-,-,-,1,2
210467 GOVERNADOR NUNES FREIRE,-,4,38,38,32,31,15,1,1,1,-,-,12,173
210470 GRACA ARANHA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
210480 GRAJAU,-,10,48,43,48,46,22,6,2,1,-,-,12,238
210490 GUIMARAES,-,-,1,2,2,-,1,-,-,-,-,-,-,6
210500 HUMBERTO DE CAMPOS,-,-,4,9,2,4,2,-,-,-,-,-,5,26
210510 ICATU,-,-,3,2,3,2,1,-,-,-,-,-,2,13
210515 IGARAPE DO MEIO,-,-,2,-,-,1,1,-,-,-,-,-,1,5
210520 IGARAPE GRANDE,-,-,2,1,1,-,1,-,-,-,-,-,-,5
210530 IMPERATRIZ,-,21,229,325,280,198,162,43,4,-,-,-,53,1.315
210535 ITAIPAVA DO GRAJAU,-,-,3,-,3,1,-,1,-,-,-,-,5,13
210540 ITAPECURU MIRIM,-,1,62,64,55,28,23,4,1,-,-,-,25,263
210542 ITINGA DO MARANHAO,-,-,5,10,1,2,4,-,-,-,-,-,-,22
210547 JENIPAPO DOS VIEIRAS,-,-,3,5,3,3,4,-,1,-,-,-,4,23
210550 JOAO LISBOA,-,-,1,-,-,2,2,1,-,-,-,-,-,6
210560 JOSELANDIA,-,1,2,-,1,-,-,-,-,-,-,-,1,5
210570 LAGO DA PEDRA,-,3,18,21,27,19,9,4,1,-,-,-,3,105
210580 LAGO DO JUNCO,-,-,-,2,2,3,1,2,-,-,-,-,1,11
210590 LAGO VERDE,-,-,1,-,-,-,-,-,-,-,-,-,1,2
210592 LAGOA DO MATO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210594 LAGO DOS RODRIGUES,-,-,1,2,1,-,-,1,-,-,-,-,1,6
210596 LAGOA GRANDE DO MARANHAO,-,-,1,4,2,1,2,-,-,-,-,-,2,12
210600 LIMA CAMPOS,-,-,1,-,1,1,-,-,1,-,-,-,3,7
210610 LORETO,-,-,7,2,1,4,-,-,-,-,-,-,2,16
210620 LUIS DOMINGUES,-,-,-,-,1,1,-,-,-,-,-,-,2,4
210630 MAGALHAES DE ALMEIDA,-,-,3,2,4,-,5,1,-,-,-,-,-,15
210632 MARACACUME,-,-,1,-,1,-,-,-,-,-,-,-,-,2
210635 MARAJA DO SENA,-,-,1,-,-,1,1,-,-,-,-,-,-,3
210637 MARANHAOZINHO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
210640 MATA ROMA,-,-,-,-,2,2,-,1,-,-,-,-,3,8
210650 MATINHA,-,-,3,3,11,4,5,1,-,-,-,-,3,30
210660 MATOES,-,-,3,4,5,2,2,-,-,-,-,-,-,16
210667 MILAGRES DO MARANHAO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
210670 MIRADOR,-,-,1,1,1,2,-,-,-,-,-,-,-,5
210675 MIRANDA DO NORTE,-,-,3,-,5,-,-,-,-,-,-,-,1,9
210680 MIRINZAL,-,-,5,5,2,2,3,-,-,-,-,-,1,18
210690 MONCAO,-,-,13,17,14,11,5,4,-,-,-,-,5,69
210700 MONTES ALTOS,-,-,2,-,-,-,-,-,-,-,-,-,-,2
210710 MORROS,-,1,9,7,7,11,4,-,-,-,-,-,3,42
210720 NINA RODRIGUES,-,-,2,1,-,-,2,1,-,-,-,-,1,7
210725 NOVA COLINAS,-,-,1,1,-,-,2,-,-,-,-,-,-,4
210735 NOVA OLINDA DO MARANHAO,-,-,1,4,3,3,1,-,-,-,-,-,1,13
210740 OLHO D'AGUA DAS CUNHAS,-,-,2,3,3,1,-,-,-,-,-,-,2,11
210745 OLINDA NOVA DO MARANHAO,-,-,3,5,5,2,4,-,-,-,-,-,-,19
210750 PACO DO LUMIAR,-,-,-,1,-,-,-,1,-,-,-,-,-,2
210760 PALMEIRANDIA,-,-,2,3,-,-,-,-,-,-,-,-,1,6
210770 PARAIBANO,-,-,2,2,2,4,1,-,-,-,-,-,-,11
210780 PARNARAMA,-,-,1,4,4,1,1,-,-,-,-,-,2,13
210790 PASSAGEM FRANCA,-,-,3,5,8,5,7,-,-,-,-,-,-,28
210800 PASTOS BONS,-,-,6,2,3,5,2,-,-,-,-,-,4,22
210805 PAULINO NEVES,-,-,6,6,4,4,3,2,-,-,-,-,7,32
210810 PAULO RAMOS,-,1,5,8,6,4,5,1,-,-,-,-,-,30
210820 PEDREIRAS,-,1,18,20,29,13,7,-,-,-,-,-,1,89
210825 PEDRO DO ROSARIO,-,-,3,-,2,1,-,-,-,-,-,-,-,6
210830 PENALVA,-,3,22,35,18,10,7,3,-,-,-,-,11,109
210840 PERI MIRIM,-,-,-,1,-,2,-,-,-,-,-,-,1,4
210845 PERITORO,-,-,-,3,1,-,-,1,-,-,-,-,-,5
210850 PINDARE-MIRIM,-,-,3,5,3,4,3,-,-,-,-,-,5,23
210860 PINHEIRO,-,6,101,123,110,68,42,18,2,-,-,-,1,471
210870 PIO XII,-,2,8,6,8,4,3,-,-,-,-,-,1,32
210880 PIRAPEMAS,-,1,13,6,3,4,-,1,-,-,-,-,-,28
210890 POCAO DE PEDRAS,-,-,1,-,3,-,-,-,-,-,-,-,1,5
210900 PORTO FRANCO,-,-,13,11,9,5,3,-,-,-,-,-,-,41
210910 PRESIDENTE DUTRA,-,3,20,29,20,14,8,4,-,-,-,-,6,104
210920 PRESIDENTE JUSCELINO,-,-,3,-,2,-,1,-,-,-,-,-,1,7
210923 PRESIDENTE MEDICI,-,-,-,-,-,-,-,1,-,-,-,-,-,1
210927 PRESIDENTE SARNEY,-,-,1,-,1,-,-,-,-,-,-,-,-,2
210930 PRESIDENTE VARGAS,-,-,1,1,-,2,-,-,-,-,-,-,1,5
210940 PRIMEIRA CRUZ,-,-,2,-,2,-,1,-,-,-,-,-,-,5
210945 RAPOSA,-,-,-,2,-,-,-,-,-,-,-,-,1,3
210950 RIACHAO,-,1,5,3,2,6,-,1,-,-,-,-,1,19
210960 ROSARIO,-,-,2,8,5,8,2,-,-,-,-,-,5,30
210970 SAMBAIBA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
210980 SANTA HELENA,-,-,10,15,6,3,3,-,-,-,1,-,5,43
210990 SANTA INES,-,8,74,88,85,85,33,14,-,-,-,-,2,389
211000 SANTA LUZIA,-,2,22,25,27,12,9,1,1,-,-,-,20,119
211003 SANTA LUZIA DO PARUA,-,-,-,1,1,1,-,-,-,-,-,-,-,3
211010 SANTA QUITERIA DO MARANHAO,-,1,8,6,5,-,1,2,-,-,-,-,3,26
211020 SANTA RITA,-,1,14,16,9,9,6,2,-,-,-,-,5,62
211023 SANTANA DO MARANHAO,-,-,-,-,2,-,-,-,-,-,-,-,1,3
211027 SANTO AMARO DO MARANHAO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
211030 SANTO ANTONIO DOS LOPES,-,-,2,4,1,-,-,-,-,-,-,-,1,8
211040 SAO BENEDITO DO RIO PRETO,-,1,11,8,9,5,3,1,-,-,-,-,8,46
211050 SAO BENTO,-,-,9,8,6,2,-,1,1,-,-,-,3,30
211060 SAO BERNARDO,-,1,5,10,7,7,2,2,-,-,-,-,2,36
211065 SAO DOMINGOS DO AZEITAO,-,-,1,-,-,-,1,-,-,-,-,-,-,2
211070 SAO DOMINGOS DO MARANHAO,-,-,11,7,5,8,2,2,-,-,-,-,3,38
211080 SAO FELIX DE BALSAS,-,-,1,-,1,-,-,-,-,-,-,-,-,2
211090 SAO FRANCISCO DO MARANHAO,-,-,1,-,-,-,-,-,-,-,-,-,1,2
211100 SAO JOAO BATISTA,-,-,5,5,5,4,2,-,-,-,-,-,2,23
211102 SAO JOAO DO CARU,-,1,4,2,1,5,1,-,-,-,-,-,4,18
211107 SAO JOAO DO SOTER,-,-,-,-,-,1,-,-,-,-,-,-,1,2
211110 SAO JOAO DOS PATOS,-,-,4,6,4,5,8,-,-,-,-,-,-,27
211120 SAO JOSE DE RIBAMAR,-,2,19,30,28,22,7,1,-,-,-,-,13,122
211125 SAO JOSE DOS BASILIOS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
211130 SAO LUIS,-,40,447,747,651,599,360,154,8,1,-,-,180,3.187
211140 SAO LUIS GONZAGA DO MARANHAO,-,-,2,3,1,1,-,-,-,-,-,-,-,7
211150 SAO MATEUS DO MARANHAO,-,-,1,2,1,-,-,-,-,-,-,-,1,5
211153 SAO PEDRO DA AGUA BRANCA,-,-,2,2,1,-,-,-,-,-,-,-,2,7
211157 SAO PEDRO DOS CRENTES,-,-,2,2,3,1,1,1,-,-,-,-,-,10
211160 SAO RAIMUNDO DAS MANGABEIRAS,-,-,1,4,1,2,1,-,-,-,-,-,2,11
211167 SAO ROBERTO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
211170 SAO VICENTE FERRER,-,-,4,4,4,2,1,1,-,-,-,-,-,16
211172 SATUBINHA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
211174 SENADOR ALEXANDRE COSTA,-,-,2,4,2,1,-,1,-,-,-,-,1,11
211178 SERRANO DO MARANHAO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
211180 SITIO NOVO,-,-,-,1,-,-,1,-,1,-,-,-,4,7
211190 SUCUPIRA DO NORTE,-,-,-,1,1,-,-,-,-,-,-,-,1,3
211195 SUCUPIRA DO RIACHAO,-,-,1,-,1,-,-,-,-,-,-,-,-,2
211200 TASSO FRAGOSO,-,-,1,-,2,-,1,-,-,-,-,-,1,5
211210 TIMBIRAS,-,1,16,12,11,7,9,1,1,-,-,-,22,80
211220 TIMON,-,5,72,81,54,47,28,11,2,-,-,-,20,320
211223 TRIZIDELA DO VALE,-,-,1,1,2,1,-,-,-,-,-,-,-,5
211227 TUFILANDIA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
211230 TUNTUM,-,-,9,6,10,5,5,4,-,-,-,-,4,43
211240 TURIACU,-,-,3,7,8,5,1,2,-,-,-,-,-,26
211245 TURILANDIA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
211250 TUTOIA,-,-,9,17,16,9,2,1,1,-,-,-,8,63
211260 URBANO SANTOS,-,1,5,7,6,5,-,1,-,-,-,-,3,28
211270 VARGEM GRANDE,-,-,17,20,20,15,9,3,2,-,-,-,4,90
211280 VIANA,-,3,28,52,26,19,7,3,-,-,-,-,18,156
211285 VILA NOVA DOS MARTIRIOS,-,-,-,-,-,-,1,-,-,-,-,-,1,2
211290 VITORIA DO MEARIM,-,1,14,9,13,7,5,1,-,-,-,-,1,51
211300 VITORINO FREIRE,-,-,6,7,6,10,3,-,-,-,-,-,2,34
211400 ZE DOCA,-,3,28,35,24,17,8,3,-,-,-,-,3,121
220005 ACAUA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
220020 AGUA BRANCA,-,-,4,3,3,2,2,-,-,-,-,-,2,16
220027 ALEGRETE DO PIAUI,-,-,-,-,-,-,-,1,-,-,-,-,-,1
220030 ALTO LONGA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220040 ALTOS,-,-,-,-,2,2,2,-,-,-,-,-,1,7
220045 ALVORADA DO GURGUEIA,-,-,-,1,-,-,1,-,-,-,-,-,-,2
220050 AMARANTE,-,-,-,4,2,2,1,-,-,-,-,-,7,16
220060 ANGICAL DO PIAUI,-,-,-,-,-,-,-,-,-,-,-,-,2,2
220070 ANISIO DE ABREU,-,-,1,2,1,1,-,-,-,-,-,-,-,5
220105 ASSUNCAO DO PIAUI,-,-,1,-,1,-,-,-,-,-,-,-,-,2
220110 AVELINO LOPES,-,-,1,1,2,-,-,-,-,-,-,-,1,5
220115 BAIXA GRANDE DO RIBEIRO,-,-,5,5,2,4,-,-,-,-,-,-,3,19
220120 BARRAS,-,1,8,4,8,5,4,2,-,-,-,-,6,38
220140 BARRO DURO,-,-,-,1,-,-,-,-,-,-,-,-,1,2
220150 BATALHA,-,-,2,-,1,3,1,-,-,-,-,-,1,8
220160 BENEDITINOS,-,-,2,-,-,-,-,-,-,-,-,-,-,2
220170 BERTOLINIA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
220173 BETANIA DO PIAUI,-,-,-,-,-,-,-,-,-,-,-,-,1,1
220180 BOCAINA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
220190 BOM JESUS,-,2,28,31,32,16,4,3,-,-,-,-,11,127
220192 BONFIM DO PIAUI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
220196 BRASILEIRA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220198 BREJO DO PIAUI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
220200 BURITI DOS LOPES,-,-,1,-,1,-,-,-,-,-,-,-,1,3
220220 CAMPO MAIOR,-,-,14,7,14,9,9,4,1,-,-,-,1,59
220230 CANTO DO BURITI,-,-,3,3,2,1,2,-,-,-,-,-,5,16
220250 CARACOL,-,-,1,-,2,2,-,1,-,-,-,-,-,6
220255 CARIDADE DO PIAUI,-,-,-,-,2,-,-,-,-,-,-,-,-,2
220260 CASTELO DO PIAUI,-,-,3,3,2,1,1,1,-,-,-,-,-,11
220270 COCAL,-,-,2,2,1,1,-,1,-,-,-,-,-,7
220272 COCAL DOS ALVES,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220275 COLONIA DO GURGUEIA,-,-,1,-,-,1,-,-,-,-,-,-,-,2
220277 COLONIA DO PIAUI,-,-,-,-,-,-,-,-,-,-,-,-,1,1
220285 CORONEL JOSE DIAS,-,-,-,2,-,2,-,-,-,-,-,-,-,4
220290 CORRENTE,-,2,25,23,15,14,10,7,2,1,-,-,8,107
220300 CRISTALANDIA DO PIAUI,-,-,1,1,-,-,-,-,-,-,-,-,-,2
220310 CRISTINO CASTRO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
220320 CURIMATA,-,-,4,4,2,5,5,-,-,-,-,-,3,23
220327 CURRAL NOVO DO PIAUI,-,-,-,-,-,-,-,-,-,-,-,-,2,2
220330 DEMERVAL LOBAO,-,-,4,2,1,-,1,-,-,-,-,-,-,8
220335 DIRCEU ARCOVERDE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
220345 DOM INOCENCIO,-,-,1,-,-,-,-,-,-,-,-,-,-,1
220350 ELESBAO VELOSO,-,-,-,-,2,1,1,-,-,-,-,-,2,6
220360 ELISEU MARTINS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
220370 ESPERANTINA,-,2,14,33,23,15,5,2,-,-,-,-,1,95
220380 FLORES DO PIAUI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
220390 FLORIANO,-,6,60,115,81,69,53,19,1,-,-,-,23,427
220430 FRONTEIRAS,-,-,-,1,-,-,-,-,-,-,-,-,3,4
220440 GILBUES,-,-,3,3,1,-,-,-,-,-,-,-,2,9
220450 GUADALUPE,-,-,1,-,1,-,-,-,-,-,-,-,-,2
220465 ILHA GRANDE,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220470 INHUMA,-,-,-,1,-,-,1,-,-,-,-,-,-,2
220480 IPIRANGA DO PIAUI,-,-,-,-,1,-,-,-,-,-,-,-,-,1
220500 ITAINOPOLIS,-,-,1,-,-,-,-,-,-,-,-,-,1,2
220510 ITAUEIRA,-,-,3,4,3,-,-,1,-,-,-,-,1,12
220520 JAICOS,-,-,1,-,1,1,2,-,-,-,-,-,-,5
220530 JERUMENHA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
220540 JOAQUIM PIRES,-,-,1,1,1,-,1,-,-,-,-,-,-,4
220550 JOSE DE FREITAS,-,-,2,-,3,2,1,-,-,-,-,-,1,9
220552 JULIO BORGES,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220553 JUREMA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
220555 LAGOA ALEGRE,-,-,-,-,-,-,1,-,-,-,-,-,-,1
220556 LAGOA DO BARRO DO PIAUI,-,-,1,-,1,-,-,-,-,-,-,-,-,2
220560 LANDRI SALES,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220570 LUIS CORREIA,-,-,-,1,-,-,-,-,-,-,-,-,1,2
220580 LUZILANDIA,-,1,3,6,6,5,-,-,-,-,-,-,5,26
220585 MADEIRO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
220590 MANOEL EMIDIO,-,-,2,-,2,-,-,-,-,-,-,-,1,5
220595 MARCOLANDIA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
220600 MARCOS PARENTE,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220610 MATIAS OLIMPIO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
220620 MIGUEL ALVES,-,-,-,1,5,2,2,1,-,-,-,-,4,15
220630 MIGUEL LEAO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
220660 MONTE ALEGRE DO PIAUI,-,-,1,2,-,1,-,1,-,-,-,-,1,6
220669 MURICI DOS PORTELAS,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220672 NAZARIA,-,-,-,-,-,-,-,-,1,-,-,-,-,1
220680 NOSSA SENHORA DOS REMEDIOS,-,-,-,-,1,-,-,-,-,-,-,-,1,2
220690 NOVO ORIENTE DO PIAUI,-,-,-,-,-,-,-,-,-,-,-,-,1,1
220700 OEIRAS,-,2,25,28,22,19,21,4,1,-,-,-,9,131
220720 PADRE MARCOS,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220730 PAES LANDIM,-,-,-,1,-,-,-,-,-,-,-,-,-,1
220735 PAJEU DO PIAUI,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220750 PALMEIRAIS,-,-,3,2,-,2,1,-,-,-,-,-,2,10
220760 PARNAGUA,-,-,-,2,-,-,-,-,-,-,-,-,-,2
220770 PARNAIBA,-,7,136,162,163,114,85,27,-,-,-,-,94,788
220780 PAULISTANA,-,1,7,6,3,5,4,2,-,-,-,-,9,37
220790 PEDRO II,-,-,9,8,4,5,2,2,1,-,-,-,4,35
220800 PICOS,-,11,67,89,76,53,28,12,1,-,-,-,3,340
220810 PIMENTEIRAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
220820 PIO IX,-,1,1,2,-,-,-,1,-,-,-,-,-,5
220830 PIRACURUCA,-,1,4,7,11,6,4,5,-,-,-,-,1,39
220840 PIRIPIRI,-,1,29,38,36,33,15,7,-,-,-,-,17,176
220850 PORTO,-,-,1,-,-,2,1,-,-,-,-,-,-,4
220860 PRATA DO PIAUI,-,-,1,-,-,1,-,-,-,-,-,-,-,2
220865 QUEIMADA NOVA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
220870 REDENCAO DO GURGUEIA,-,-,1,-,1,-,-,-,1,-,-,-,1,4
220880 REGENERACAO,-,-,-,3,5,4,3,1,-,-,-,-,2,18
220887 RIBEIRA DO PIAUI,-,-,-,1,-,1,-,-,-,-,-,-,-,2
220890 RIBEIRO GONCALVES,-,-,-,1,1,2,-,-,-,-,-,-,1,5
220900 RIO GRANDE DO PIAUI,-,-,1,2,-,-,-,-,-,-,-,-,-,3
220910 SANTA CRUZ DO PIAUI,-,-,1,-,-,-,1,-,-,-,-,-,-,2
