Município,Menos de 500g,500 a 999g,1000 a 1499 g,1500 a 2499 g,2500 a 2999 g,3000 a 3999 g,4000g e mais,Ignorado,Total
311350 CARBONITA,-,1,-,1,-,-,1,-,3
311360 CAREACU,-,-,-,-,-,-,-,1,1
311370 CARLOS CHAGAS,-,5,1,2,-,5,1,-,14
311380 CARMESIA,1,-,-,-,-,-,-,-,1
311390 CARMO DA CACHOEIRA,-,-,-,1,-,-,-,-,1
311400 CARMO DA MATA,-,1,-,-,1,-,-,-,2
311410 CARMO DE MINAS,-,-,1,-,-,-,-,-,1
311430 CARMO DO PARANAIBA,2,1,3,4,-,-,-,1,11
311440 CARMO DO RIO CLARO,1,4,2,2,1,-,-,1,11
311450 CARMOPOLIS DE MINAS,1,1,2,1,1,1,-,3,10
311460 CARRANCAS,-,-,1,-,-,-,-,-,1
311510 CASSIA,1,4,3,5,2,3,-,2,20
311530 CATAGUASES,1,21,13,22,14,1,7,6,85
311535 CATAS ALTAS,-,-,-,2,-,-,-,-,2
311540 CATAS ALTAS DA NORUEGA,-,-,-,-,-,-,-,1,1
311550 CAXAMBU,2,3,4,6,-,2,-,2,19
311570 CENTRAL DE MINAS,-,-,1,1,1,-,-,-,3
311580 CENTRALINA,-,-,1,1,-,-,-,-,2
311610 CHAPADA DO NORTE,-,-,-,-,-,-,-,1,1
311615 CHAPADA GAUCHA,-,-,1,2,2,2,-,1,8
311630 CIPOTANEA,2,1,-,-,-,1,-,-,4
311660 CLAUDIO,-,4,3,5,5,2,1,1,21
311680 COLUNA,-,1,-,2,1,1,-,-,5
311700 COMERCINHO,-,-,-,-,-,-,-,1,1
311710 CONCEICAO DA APARECIDA,-,1,-,1,-,-,-,-,2
311720 CONCEICAO DAS PEDRAS,-,-,1,-,-,-,-,-,1
311730 CONCEICAO DAS ALAGOAS,-,-,-,1,1,1,-,-,3
311750 CONCEICAO DO MATO DENTRO,-,2,1,1,1,1,-,2,8
311760 CONCEICAO DO PARA,1,-,-,-,-,-,-,-,1
311770 CONCEICAO DO RIO VERDE,5,5,1,2,1,-,-,2,16
311780 CONCEICAO DOS OUROS,-,1,-,-,-,-,-,-,1
311800 CONGONHAS,4,7,6,-,6,3,-,3,29
311810 CONGONHAS DO NORTE,2,-,-,-,-,-,-,-,2
311830 CONSELHEIRO LAFAIETE,20,35,36,38,15,22,7,12,185
311840 CONSELHEIRO PENA,-,2,3,-,-,-,1,1,7
311860 CONTAGEM,168,152,71,102,47,51,5,29,625
311880 CORACAO DE JESUS,-,3,1,5,2,2,-,3,16
311910 CORINTO,-,1,-,-,-,-,-,1,2
311920 COROACI,-,-,-,-,-,1,-,1,2
311930 COROMANDEL,-,5,4,2,2,1,-,-,14
311940 CORONEL FABRICIANO,4,7,7,10,5,7,-,3,43
311950 CORONEL MURTA,-,1,1,2,-,-,-,-,4
311980 CORREGO DANTA,1,-,-,-,-,-,-,-,1
312030 CRISTALIA,-,1,-,-,-,-,-,-,1
312070 CRUZEIRO DA FORTALEZA,-,-,-,-,-,-,-,1,1
312080 CRUZILIA,1,1,3,1,4,2,-,4,16
312090 CURVELO,16,30,26,29,15,14,3,10,143
312100 DATAS,-,-,1,-,1,-,-,-,2
312120 DELFINOPOLIS,-,1,-,-,-,-,-,-,1
312130 DESCOBERTO,-,-,-,-,-,1,-,-,1
312160 DIAMANTINA,20,47,23,32,12,12,2,18,166
312180 DIONISIO,-,1,-,-,-,-,-,-,1
312200 DIVINO,1,1,-,1,-,2,-,1,6
312230 DIVINOPOLIS,14,72,41,79,27,32,6,19,290
312245 DIVISOPOLIS,1,1,-,-,-,-,-,-,2
312247 DOM BOSCO,-,-,-,1,-,-,-,-,1
312270 DOM SILVERIO,-,-,-,-,1,-,-,-,1
312300 DORES DE CAMPOS,-,1,-,-,-,-,-,-,1
312320 DORES DO INDAIA,-,3,1,-,-,1,-,1,6
312360 ELOI MENDES,1,2,-,1,1,3,-,2,10
312385 ENTRE FOLHAS,-,-,1,1,-,-,-,1,3
312390 ENTRE RIOS DE MINAS,1,1,1,2,2,2,-,-,9
312400 ERVALIA,-,2,-,-,-,-,-,-,2
312410 ESMERALDAS,3,4,1,4,-,-,-,-,12
312420 ESPERA FELIZ,2,1,1,1,-,3,-,-,8
312430 ESPINOSA,9,10,4,7,4,4,1,-,39
312450 ESTIVA,-,-,-,1,-,-,-,-,1
312460 ESTRELA DALVA,1,-,-,-,-,-,-,-,1
312470 ESTRELA DO INDAIA,-,-,-,1,-,1,-,-,2
312480 ESTRELA DO SUL,-,1,-,-,-,-,-,-,1
312510 EXTREMA,-,18,4,15,7,6,2,7,59
312530 FARIA LEMOS,-,1,-,-,-,-,-,-,1
312560 FELISBURGO,4,2,2,1,2,2,-,-,13
312570 FELIXLANDIA,-,1,-,-,-,-,-,-,1
312595 FERVEDOURO,1,1,-,-,-,-,-,-,2
312600 FLORESTAL,1,-,-,-,-,-,-,-,1
312610 FORMIGA,10,20,10,13,8,11,1,3,76
312620 FORMOSO,-,-,1,1,-,1,1,2,6
312640 FORTUNA DE MINAS,-,1,-,-,-,-,-,-,1
312650 FRANCISCO BADARO,-,-,-,-,-,-,-,2,2
312660 FRANCISCO DUMONT,-,2,-,-,-,-,-,-,2
312670 FRANCISCO SA,-,1,1,1,-,2,-,3,8
312705 FRONTEIRA DOS VALES,-,1,-,-,-,-,-,-,1
312710 FRUTAL,1,12,3,9,8,8,1,2,44
312738 GOIANA,-,-,-,-,1,-,-,-,1
312740 GONCALVES,-,-,-,-,-,-,-,2,2
312750 GONZAGA,-,-,1,-,-,-,-,-,1
312760 GOUVEIA,-,-,1,-,-,-,-,2,3
312770 GOVERNADOR VALADARES,60,150,82,141,58,53,10,48,602
312780 GRAO MOGOL,1,1,1,3,2,2,-,-,10
312800 GUANHAES,10,25,12,32,14,14,4,2,113
312810 GUAPE,-,1,-,-,1,-,-,-,2
312830 GUARANESIA,1,4,2,-,-,2,-,2,11
312850 GUARARA,-,-,1,-,-,-,-,-,1
312860 GUARDA-MOR,-,-,-,1,-,-,-,-,1
312870 GUAXUPE,12,13,7,13,5,10,1,2,63
312890 GUIMARANIA,-,-,1,-,-,-,-,-,1
312940 IBERTIOGA,-,-,-,-,-,1,-,-,1
312950 IBIA,1,2,4,6,3,1,-,1,18
312960 IBIAI,-,-,1,-,-,-,-,1,2
312980 IBIRITE,27,28,13,26,15,14,2,6,131
313005 ICARAI DE MINAS,-,-,-,-,-,1,-,-,1
313010 IGARAPE,2,-,-,-,-,-,-,-,2
313030 IGUATAMA,-,1,1,-,-,1,-,1,4
313050 ILICINEA,-,1,1,1,3,1,-,-,7
313065 INDAIABIRA,-,1,-,-,-,-,-,-,1
313070 INDIANOPOLIS,-,-,1,-,-,-,-,-,1
313090 INHAPIM,-,2,1,3,2,1,-,2,11
313100 INHAUMA,-,-,-,-,-,-,-,2,2
313120 IPANEMA,-,7,3,6,3,2,-,3,24
313130 IPATINGA,55,120,64,136,33,50,11,23,492
313160 IRAI DE MINAS,-,-,-,-,-,-,-,1,1
313170 ITABIRA,7,42,27,35,17,22,4,6,160
313180 ITABIRINHA,1,1,-,-,2,4,-,-,8
313190 ITABIRITO,2,8,5,13,3,6,1,4,42
313210 ITACARAMBI,-,8,2,-,1,2,1,5,19
313220 ITAGUARA,1,-,1,-,-,-,-,-,2
313230 ITAIPE,-,1,1,2,-,-,-,3,7
313240 ITAJUBA,27,46,23,36,11,11,4,23,181
313250 ITAMARANDIBA,-,5,2,6,6,1,-,10,30
313270 ITAMBACURI,6,14,11,18,-,5,2,8,64
313290 ITAMOGI,-,-,1,1,-,-,-,-,2
313300 ITAMONTE,1,4,2,3,2,1,1,1,15
313310 ITANHANDU,3,5,2,9,-,2,1,3,25
313320 ITANHOMI,-,-,-,1,1,2,-,1,5
313330 ITAOBIM,2,19,16,17,8,3,3,2,70
313340 ITAPAGIPE,-,-,-,-,-,1,-,-,1
313350 ITAPECERICA,1,2,2,-,-,-,-,1,6
313375 ITAU DE MINAS,1,1,-,-,-,1,-,-,3
313380 ITAUNA,9,14,13,21,10,8,-,4,79
313420 ITUIUTABA,13,24,16,22,10,9,1,-,95
313440 ITURAMA,-,10,7,11,3,5,-,5,41
313460 JABOTICATUBAS,-,-,1,-,1,-,-,-,2
313470 JACINTO,-,2,5,4,3,4,2,2,22
313480 JACUI,-,-,1,-,-,-,-,-,1
313490 JACUTINGA,-,3,-,7,3,1,-,-,14
313505 JAIBA,-,3,1,3,-,1,-,1,9
313510 JANAUBA,30,53,44,71,32,39,6,5,280
313520 JANUARIA,2,20,20,41,17,12,4,18,134
313535 JAPONVAR,-,-,-,-,-,-,-,2,2
313545 JENIPAPO DE MINAS,-,-,1,-,-,-,-,-,1
313560 JEQUITAI,1,-,2,-,-,-,-,1,4
313580 JEQUITINHONHA,1,8,13,6,4,6,1,2,41
313600 JOAIMA,1,6,4,9,3,4,-,1,28
313620 JOAO MONLEVADE,38,22,12,31,12,13,3,24,155
313630 JOAO PINHEIRO,3,11,10,17,7,5,-,-,53
313640 JOAQUIM FELICIO,-,-,1,-,-,-,-,-,1
313650 JORDANIA,-,-,1,1,1,1,-,-,4
313660 NOVA UNIAO,-,-,-,-,-,-,-,1,1
313665 JUATUBA,1,1,-,-,-,-,-,-,2
313670 JUIZ DE FORA,18,240,120,224,79,83,18,43,825
313690 JURUAIA,2,2,3,2,1,-,-,2,12
313700 LADAINHA,2,1,1,1,2,-,-,1,8
313720 LAGOA DA PRATA,-,5,4,7,2,4,1,6,29
313730 LAGOA DOS PATOS,-,-,1,-,-,-,-,-,1
313750 LAGOA FORMOSA,-,-,1,-,-,-,-,1,2
313753 LAGOA GRANDE,-,-,-,1,-,-,-,1,2
313760 LAGOA SANTA,-,2,-,1,-,-,-,1,4
313770 LAJINHA,1,1,1,4,4,1,1,2,15
313780 LAMBARI,3,-,2,2,1,3,-,3,14
313820 LAVRAS,54,50,24,42,12,16,-,5,203
313835 LEME DO PRADO,-,-,-,2,-,-,-,-,2
313840 LEOPOLDINA,1,15,8,20,6,8,3,2,63
313860 LIMA DUARTE,1,1,-,-,-,1,-,-,3
313880 LUZ,4,-,-,2,-,-,-,-,6
313890 MACHACALIS,-,1,2,2,-,5,2,1,13
313900 MACHADO,4,10,4,4,7,2,-,5,36
313920 MALACACHETA,-,12,11,11,6,8,1,5,54
313930 MANGA,3,4,6,10,3,7,1,2,36
313940 MANHUACU,98,85,44,73,30,32,4,9,375
313950 MANHUMIRIM,2,2,1,4,-,3,-,-,12
313960 MANTENA,2,10,1,3,4,3,5,1,29
313980 MAR DE ESPANHA,1,3,-,-,-,-,-,2,6
313990 MARIA DA FE,-,1,-,1,-,-,-,-,2
314000 MARIANA,2,18,5,11,5,5,2,15,63
314015 MARIO CAMPOS,1,-,-,-,-,-,-,-,1
314040 MARMELOPOLIS,-,-,-,-,-,-,-,1,1
314050 MARTINHO CAMPOS,1,-,2,-,-,-,-,-,3
314055 MATA VERDE,-,1,1,-,-,-,-,-,2
314070 MATEUS LEME,-,2,-,2,1,-,-,1,6
314085 MATIAS CARDOSO,-,2,-,-,-,-,-,-,2
314090 MATIPO,-,-,2,1,-,1,-,-,4
314110 MATOZINHOS,-,2,-,-,-,-,-,-,2
314130 MEDEIROS,-,1,-,-,-,-,-,-,1
314140 MEDINA,3,11,2,7,3,11,2,5,44
314150 MENDES PIMENTEL,2,1,2,-,1,-,-,2,8
314180 MINAS NOVAS,1,13,8,14,4,3,4,2,49
314190 MINDURI,-,-,-,-,-,1,-,-,1
314200 MIRABELA,2,2,1,1,1,1,-,1,9
314210 MIRADOURO,-,1,-,-,-,-,-,-,1
314220 MIRAI,2,-,1,1,1,5,1,-,11
314225 MIRAVANIA,-,-,2,1,-,1,-,-,4
314240 MOEMA,-,-,1,1,-,-,-,1,3
314260 MONSENHOR PAULO,1,1,-,-,-,-,-,-,2
314270 MONTALVANIA,1,5,-,5,5,3,1,2,22
314280 MONTE ALEGRE DE MINAS,-,1,2,2,2,2,-,2,11
314290 MONTE AZUL,9,3,3,8,1,3,-,1,28
314300 MONTE BELO,-,-,-,2,1,1,-,1,5
314310 MONTE CARMELO,1,11,8,7,6,8,2,4,47
314320 MONTE SANTO DE MINAS,1,4,2,1,-,2,-,-,10
314330 MONTES CLAROS,113,174,117,192,82,89,15,149,931
314345 MONTEZUMA,-,1,-,-,-,-,-,2,3
314350 MORADA NOVA DE MINAS,-,-,-,-,-,1,-,-,1
314370 MORRO DO PILAR,-,-,-,-,-,-,-,1,1
314390 MURIAE,4,49,23,46,16,20,7,5,170
314400 MUTUM,-,5,-,2,1,1,-,-,9
314410 MUZAMBINHO,2,1,1,5,2,-,-,3,14
314430 NANUQUE,5,25,10,26,7,13,2,-,88
314450 NAZARENO,1,1,-,1,1,-,-,-,4
314460 NEPOMUCENO,-,-,1,3,-,-,-,7,11
314470 NOVA ERA,-,-,-,1,-,-,-,-,1
314480 NOVA LIMA,82,92,35,64,21,18,3,29,344
314500 NOVA PONTE,-,1,1,-,-,-,-,-,2
314510 NOVA RESENDE,1,1,1,1,-,1,-,1,6
314520 NOVA SERRANA,3,20,13,30,13,14,3,6,102
314530 NOVO CRUZEIRO,-,4,4,4,1,3,-,5,21
314545 OLHOS-D'AGUA,-,-,-,-,-,-,1,-,1
314560 OLIVEIRA,3,11,5,8,7,3,-,3,40
314590 OURO BRANCO,4,12,10,8,7,3,1,2,47
314600 OURO FINO,1,5,7,9,-,6,-,2,30
314610 OURO PRETO,12,18,6,18,7,7,1,9,78
314620 OURO VERDE DE MINAS,-,-,-,-,-,-,-,1,1
314630 PADRE PARAISO,4,5,3,6,4,7,-,2,31
314650 PAINS,-,-,3,1,1,1,-,-,6
314670 PALMA,-,-,-,-,-,-,-,2,2
314690 PAPAGAIOS,-,-,-,1,-,-,-,-,1
314700 PARACATU,3,20,26,35,7,12,3,-,106
314710 PARA DE MINAS,8,21,22,24,14,10,2,2,103
314720 PARAGUACU,-,1,2,2,-,-,-,-,5
314730 PARAISOPOLIS,5,2,1,3,-,2,-,6,19
314740 PARAOPEBA,-,2,-,-,-,-,-,-,2
314750 PASSABEM,-,-,-,-,-,-,1,-,1
314760 PASSA QUATRO,2,1,-,7,1,1,-,3,15
314790 PASSOS,66,36,30,51,18,23,1,14,239
314800 PATOS DE MINAS,57,93,45,58,16,26,4,19,318
314810 PATROCINIO,9,26,19,31,9,3,2,4,103
314840 PAULISTAS,-,-,-,-,-,-,-,1,1
314850 PAVAO,-,-,1,-,-,-,-,3,4
314860 PECANHA,1,6,2,7,4,6,-,1,27
314870 PEDRA AZUL,8,12,6,17,11,15,4,4,77
314915 PEDRAS DE MARIA DA CRUZ,-,-,1,1,-,-,-,-,2
314930 PEDRO LEOPOLDO,2,13,3,14,6,7,6,3,54
314970 PERDIGAO,-,-,-,-,-,1,-,-,1
314980 PERDIZES,2,2,-,-,1,-,-,-,5
314990 PERDOES,-,2,2,2,1,-,-,-,7
315080 PIRANGA,1,-,1,-,1,1,-,-,4
315110 PIRAPETINGA,2,3,2,1,2,2,-,4,16
315120 PIRAPORA,9,51,25,48,14,20,2,3,172
315140 PITANGUI,1,5,9,9,1,2,1,4,32
315150 PIUMHI,3,12,4,5,2,4,-,-,30
315160 PLANURA,-,1,-,1,-,-,-,-,2
315170 POCO FUNDO,2,1,-,1,1,1,1,-,7
315180 POCOS DE CALDAS,24,51,27,38,22,15,3,6,186
315190 POCRANE,1,-,1,-,-,1,-,-,3
315200 POMPEU,-,4,-,4,1,5,-,2,16
315210 PONTE NOVA,11,43,30,50,27,25,6,4,196
315220 PORTEIRINHA,3,4,3,5,1,5,-,2,23
315240 POTE,-,-,-,1,1,-,-,-,2
315250 POUSO ALEGRE,6,97,57,87,33,27,3,23,333
315260 POUSO ALTO,-,-,1,-,-,-,-,1,2
315280 PRATA,1,2,-,1,-,-,-,2,6
315290 PRATAPOLIS,-,-,1,-,-,-,-,-,1
315310 PRESIDENTE BERNARDES,-,-,-,-,-,-,-,1,1
315340 PRESIDENTE OLEGARIO,-,1,-,-,-,-,-,-,1
315360 PRUDENTE DE MORAIS,1,-,-,-,-,-,-,-,1
315370 QUARTEL GERAL,-,-,-,-,-,-,-,1,1
315400 RAUL SOARES,1,3,2,8,3,4,-,1,22
315410 RECREIO,-,-,1,2,1,-,-,-,4
315415 REDUTO,-,-,-,-,-,-,-,1,1
315420 RESENDE COSTA,2,5,4,4,3,5,-,1,24
315430 RESPLENDOR,8,10,9,12,2,5,-,-,46
315445 RIACHINHO,-,-,-,1,-,-,-,-,1
315450 RIACHO DOS MACHADOS,-,-,-,1,-,-,-,-,1
315460 RIBEIRAO DAS NEVES,7,26,7,15,6,10,-,7,78
315490 RIO CASCA,-,1,-,-,-,-,-,-,1
315520 RIO ESPERA,-,-,-,-,-,-,-,1,1
315550 RIO PARANAIBA,2,-,-,1,-,-,-,-,3
315560 RIO PARDO DE MINAS,1,2,-,4,2,1,1,1,12
315580 RIO POMBA,-,-,3,2,1,2,-,4,12
315600 RIO VERMELHO,1,3,-,-,1,-,-,1,6
315630 RODEIRO,-,-,-,-,-,1,-,-,1
315660 RUBIM,-,2,1,1,1,-,1,-,6
315670 SABARA,-,-,2,1,-,-,-,3,6
315680 SABINOPOLIS,2,1,1,5,1,3,-,2,15
315690 SACRAMENTO,3,4,3,1,1,-,-,-,12
315700 SALINAS,7,11,8,17,6,5,1,18,73
315710 SALTO DA DIVISA,-,1,1,2,-,1,-,-,5
315720 SANTA BARBARA,4,13,5,6,7,4,1,7,47
315725 SANTA BARBARA DO LESTE,-,-,1,-,-,-,-,-,1
315760 SANTA FE DE MINAS,-,-,-,-,-,-,-,1,1
315765 SANTA HELENA DE MINAS,-,-,-,1,-,-,-,-,1
315770 SANTA JULIANA,-,1,-,-,2,-,-,1,4
315780 SANTA LUZIA,2,1,-,3,1,-,-,4,11
315790 SANTA MARGARIDA,-,1,-,1,-,-,-,-,2
315800 SANTA MARIA DE ITABIRA,-,-,1,-,-,-,-,1,2
315810 SANTA MARIA DO SALTO,1,-,-,1,-,-,-,-,2
315820 SANTA MARIA DO SUACUI,-,16,5,10,7,5,2,6,51
315830 SANTANA DA VARGEM,-,1,-,-,-,-,-,-,1
315850 SANTANA DE PIRAPAMA,-,-,-,-,-,1,-,-,1
315930 SANTA RITA DE JACUTINGA,-,-,-,1,-,-,-,-,1
315960 SANTA RITA DO SAPUCAI,2,4,-,2,4,2,-,2,16
315970 SANTA ROSA DA SERRA,-,-,-,-,1,-,-,1,2
315980 SANTA VITORIA,4,3,6,4,1,2,-,1,21
315990 SANTO ANTONIO DO AMPARO,1,1,-,3,1,-,-,-,6
316020 SANTO ANTONIO DO ITAMBE,-,-,-,-,-,-,-,1,1
316030 SANTO ANTONIO DO JACINTO,-,-,-,-,-,-,-,1,1
316040 SANTO ANTONIO DO MONTE,4,6,3,6,2,-,-,1,22
316045 SANTO ANTONIO DO RETIRO,-,1,1,1,-,-,-,1,4
316070 SANTOS DUMONT,-,15,10,15,10,6,2,3,61
316080 SAO BENTO ABADE,-,-,1,-,-,-,-,-,1
316095 SAO DOMINGOS DAS DORES,-,-,-,1,1,-,-,-,2
316100 SAO DOMINGOS DO PRATA,-,-,1,-,1,-,1,-,3
316105 SAO FELIX DE MINAS,-,-,-,-,-,-,-,1,1
316110 SAO FRANCISCO,10,20,9,15,15,4,5,5,83
316160 SAO GERALDO DA PIEDADE,-,-,-,1,-,-,-,-,1
316170 SAO GONCALO DO ABAETE,-,1,-,-,-,-,-,-,1
316190 SAO GONCALO DO RIO ABAIXO,-,-,-,1,-,1,-,-,2
316200 SAO GONCALO DO SAPUCAI,8,5,3,7,4,6,1,1,35
316210 SAO GOTARDO,5,13,5,19,6,9,1,4,62
316220 SAO JOAO BATISTA DO GLORIA,2,-,-,-,-,-,-,-,2
316240 SAO JOAO DA PONTE,1,3,-,2,2,1,-,3,12
316245 SAO JOAO DAS MISSOES,-,2,1,-,1,1,-,1,6
316250 SAO JOAO DEL REI,14,38,20,49,23,18,2,2,166
316260 SAO JOAO DO ORIENTE,-,-,-,-,-,-,-,1,1
316270 SAO JOAO DO PARAISO,-,2,2,1,-,5,1,1,12
316280 SAO JOAO EVANGELISTA,2,6,6,10,3,5,-,6,38
316290 SAO JOAO NEPOMUCENO,1,5,-,4,1,4,-,1,16
316292 SAO JOAQUIM DE BICAS,1,1,-,-,-,-,-,-,2
316294 SAO JOSE DA BARRA,-,-,1,-,-,-,-,-,1
316330 SAO JOSE DO DIVINO,-,-,-,1,-,-,-,-,1
316370 SAO LOURENCO,17,30,18,17,19,13,1,10,125
316380 SAO MIGUEL DO ANTA,-,-,-,-,-,-,-,1,1
316400 SAO PEDRO DOS FERROS,-,-,-,1,-,-,-,-,1
316420 SAO ROMAO,2,-,1,-,-,-,-,-,3
316430 SAO ROQUE DE MINAS,-,-,1,-,-,-,-,-,1
316440 SAO SEBASTIAO DA BELA VISTA,-,1,-,-,-,-,-,-,1
316447 SAO SEBASTIAO DO ANTA,-,1,-,-,-,-,-,-,1
316450 SAO SEBASTIAO DO MARANHAO,-,-,-,-,-,-,-,1,1
316460 SAO SEBASTIAO DO OESTE,1,-,-,-,1,-,-,-,2
316470 SAO SEBASTIAO DO PARAISO,14,23,12,22,15,16,1,18,121
316500 SAO TIAGO,2,1,-,1,3,-,-,-,7
316510 SAO TOMAS DE AQUINO,-,-,-,-,-,-,-,2,2
316520 SAO THOME DAS LETRAS,-,-,1,-,-,-,-,1,2
316530 SAO VICENTE DE MINAS,-,-,-,-,-,-,-,2,2
316555 SETUBINHA,2,2,-,1,-,-,-,-,5
316557 SENADOR AMARAL,-,-,-,1,-,-,-,-,1
316570 SENADOR FIRMINO,-,1,-,-,-,-,-,-,1
316620 SENHORA DOS REMEDIOS,-,2,-,-,-,-,-,-,2
316650 SERRA AZUL DE MINAS,-,-,-,-,-,1,-,-,1
316670 SERRA DOS AIMORES,-,-,-,-,-,-,-,1,1
316710 SERRO,3,7,2,4,3,6,-,7,32
316720 SETE LAGOAS,24,103,38,80,35,33,3,44,360
316770 SOBRALIA,-,-,-,-,-,-,-,1,1
316800 TAIOBEIRAS,8,28,22,40,14,14,5,4,135
316840 TARUMIRIM,-,1,-,2,-,-,-,-,3
316860 TEOFILO OTONI,58,113,75,130,47,47,12,50,532
316870 TIMOTEO,3,17,13,18,13,13,6,10,93
316890 TIROS,-,1,-,1,-,-,-,-,2
316930 TRES CORACOES,6,30,29,39,13,11,3,5,136
316935 TRES MARIAS,3,7,5,5,1,2,-,5,28
316940 TRES PONTAS,5,20,6,24,14,12,2,5,88
316960 TUPACIGUARA,-,-,-,1,1,-,-,-,2
316970 TURMALINA,1,7,2,3,2,3,1,9,28
316980 TURVOLANDIA,-,-,-,-,1,-,-,-,1
316990 UBA,10,54,31,40,17,19,2,39,212
317005 UBAPORANGA,-,2,-,-,-,2,-,-,4
317010 UBERABA,57,116,58,116,38,37,7,40,469
317020 UBERLANDIA,163,200,95,157,54,58,9,29,765
317040 UNAI,3,24,12,22,14,10,2,5,92
317043 UNIAO DE MINAS,-,1,-,-,-,-,-,-,1
317052 URUCUIA,-,4,1,1,1,2,-,1,10
317057 VARGEM ALEGRE,-,-,-,1,-,-,-,1,2
317065 VARGEM GRANDE DO RIO PARDO,-,1,-,-,1,-,-,-,2
317070 VARGINHA,24,39,14,39,15,10,3,20,164
317075 VARJAO DE MINAS,-,-,1,-,-,-,-,-,1
317080 VARZEA DA PALMA,-,10,4,4,2,6,-,2,28
317090 VARZELANDIA,-,2,1,-,-,-,1,3,7
317100 VAZANTE,1,1,-,1,1,-,-,-,4
317103 VERDELANDIA,-,1,1,-,-,-,-,-,2
317107 VEREDINHA,-,-,-,-,-,-,-,2,2
317115 VERMELHO NOVO,-,-,-,-,1,-,-,-,1
317120 VESPASIANO,-,2,-,1,3,3,-,1,10
317130 VICOSA,19,37,10,24,14,10,-,25,139
317160 VIRGEM DA LAPA,-,1,1,2,-,1,-,-,5
317170 VIRGINIA,-,1,-,-,-,1,-,-,2
317180 VIRGINOPOLIS,-,2,1,-,3,1,1,-,8
317190 VIRGOLANDIA,-,2,-,-,-,2,-,-,4
317200 VISCONDE DO RIO BRANCO,6,11,14,21,5,11,-,14,82
320010 AFONSO CLAUDIO,5,7,3,6,4,5,2,10,42
320020 ALEGRE,2,8,5,4,2,3,2,3,29
320030 ALFREDO CHAVES,-,-,1,-,-,-,-,-,1
320040 ANCHIETA,1,5,3,7,1,4,3,-,24
320060 ARACRUZ,9,21,8,11,9,7,2,40,107
320070 ATILIO VIVACQUA,-,1,-,-,-,-,-,-,1
320080 BAIXO GUANDU,1,1,-,2,2,-,-,-,6
320090 BARRA DE SAO FRANCISCO,-,17,12,20,6,10,3,20,88
320100 BOA ESPERANCA,-,-,-,1,-,1,-,1,3
320115 BREJETUBA,-,-,1,2,-,-,-,1,4
320120 CACHOEIRO DE ITAPEMIRIM,30,95,43,84,40,32,9,122,455
320130 CARIACICA,9,48,53,76,34,40,6,87,353
320140 CASTELO,1,6,4,3,1,2,-,4,21
320150 COLATINA,39,88,65,93,40,36,7,56,424
320160 CONCEICAO DA BARRA,-,-,-,-,-,-,-,2,2
320170 CONCEICAO DO CASTELO,-,-,-,-,-,-,-,1,1
320180 DIVINO DE SAO LOURENCO,-,-,-,-,1,-,-,-,1
320190 DOMINGOS MARTINS,1,2,2,5,1,1,1,7,20
320210 ECOPORANGA,-,-,-,-,-,-,-,1,1
320220 FUNDAO,-,-,-,1,-,-,-,1,2
320230 GUACUI,2,9,13,12,9,5,-,14,64
320240 GUARAPARI,6,19,5,21,15,17,1,21,105
320245 IBATIBA,1,6,2,9,3,6,-,3,30
320255 IBITIRAMA,-,-,-,-,-,-,-,1,1
320260 ICONHA,-,1,-,-,-,-,-,-,1
320265 IRUPI,-,-,2,-,-,-,-,1,3
320270 ITAGUACU,1,1,-,-,-,-,-,-,2
320280 ITAPEMIRIM,16,15,8,18,10,14,4,15,100
320290 ITARANA,-,-,1,-,-,-,-,1,2
320300 IUNA,4,7,6,4,1,1,-,1,24
320305 JAGUARE,-,5,3,3,2,1,-,8,22
320316 LARANJA DA TERRA,-,-,-,-,-,-,-,1,1
320320 LINHARES,1,53,23,36,21,14,2,33,183
320332 MARATAIZES,1,-,-,2,1,-,-,-,4
320334 MARECHAL FLORIANO,-,-,1,-,-,-,-,-,1
320340 MIMOSO DO SUL,1,2,1,4,4,3,-,3,18
320350 MONTANHA,-,2,1,4,1,3,-,6,17
320360 MUCURICI,1,-,1,-,-,1,-,1,4
320370 MUNIZ FREIRE,1,1,2,2,1,-,-,2,9
320380 MUQUI,2,-,-,-,1,-,1,1,5
320390 NOVA VENECIA,3,3,1,7,2,5,-,9,30
320405 PEDRO CANARIO,1,2,-,2,-,1,-,1,7
320410 PINHEIROS,1,3,2,3,2,-,2,6,19
320420 PIUMA,-,-,-,2,-,-,-,-,2
320430 PRESIDENTE KENNEDY,-,-,-,-,-,-,-,1,1
320435 RIO BANANAL,-,-,-,1,-,-,-,-,1
320440 RIO NOVO DO SUL,-,-,-,-,-,-,-,1,1
320450 SANTA LEOPOLDINA,1,1,2,1,1,-,-,1,7
320455 SANTA MARIA DE JETIBA,1,9,4,11,6,3,-,9,43
320460 SANTA TERESA,-,9,9,13,2,7,1,16,57
320465 SAO DOMINGOS DO NORTE,-,-,-,1,-,-,-,-,1
320470 SAO GABRIEL DA PALHA,1,4,-,-,1,-,1,-,7
320480 SAO JOSE DO CALCADO,-,2,3,4,1,3,1,2,16
320490 SAO MATEUS,7,56,35,46,20,24,4,55,247
320500 SERRA,42,215,114,192,73,69,20,109,834
320501 SOORETAMA,-,-,-,-,-,-,-,1,1
320503 VARGEM ALTA,-,-,-,-,-,-,-,1,1
